流す行,発話者,立ち絵,テキスト,場所,,リスカちゃんのセリフから始めてもいいかも
55,Riska,Surprised,,Right,,
55,Player,Suspicious,全く、状況もこのぬいぐるみの考えも掴めない,Left,,
56,Player,Normal,,Left,,
56,Riska,Normal,「実は君は特殊な力が使えるんだ！」,Right,,
57,Player,Normal,,Left,,
57,Riska,Surprised,「それもテレビでよく見るうさんくさい超能力なんかじゃない、正真正銘、科学で証明できない不思議な力だ！」,Right,,
58,Player,Normal,,Left,,
58,Riska,Surprised,「その力で君は救わなければならない！」,Right,,
59,Riska,Normal,,Right,,
59,Player,Suspicious,正真正銘科学で証明できない、変な日本語,Left,,
60,Riska,Normal,,Right,,
60,Player,Conversation,「…何を？」,Left,,
61,Player,Conversation,,Left,,
61,Riska,Surprised,「何でもだ！」,Right,,
62,Player,Normal,,Left,,
62,Riska,Normal,「救えるものは全部救う！」,Right,,
63,Player,Normal,,Left,,
63,Riska,Surprised,「とにかく、君の役目は“救う”ことなんだ！」,Right,,
64,Player,Surprised,,Left,,
64,Riska,Normal,「そのために君と僕は巡り合ったんだ！この幾千もの歴史の中でね！」,Right,,
65,Riska,Normal,,Right,,
65,Player,Suspicious,そんなこと急に言われたってどうすることもできないし…,Left,,
66,Riska,Normal,,Right,,
66,Player,Conversation,てか、そんなスケールのでかい話！？,Left,,
67,Riska,Normal,,Right,,
67,Player,Suspicious,でもここで話を終わらせたら全部疑問のままになっちゃう,Left,,
68,Riska,Normal,,Right,,
68,Player,Conversation,「救うって言ったって、どうやって？」,Left,,
69,Player,Conversation,,Left,,
69,Riska,Surprised,「君にはこれから人々の深層心理に入り込み、内に潜むヤミをぶっ飛ばしてもらうんだ！」,Right,,
70,Riska,Surprised,,Right,,
70,Player,Suspicious,「はあ？」,Left,,
71,Riska,Surprised,,Right,,
71,Player,Suspicious,「なにそれ、深層心理に入り込む？ヤミをぶっ飛ばす？」,Left,,
72,Riska,Surprised,,Right,,
72,Player,Suspicious,「胡散臭いことこの上ない…、それこそテレビで見る超能力より…」,Left,,
73,Riska,Surprised,,Right,,
73,Player,Suspicious,正直ここで「馬鹿馬鹿しい」と話を切ることもできるけど…,Left,,
74,Riska,Surprised,,Right,,
74,Player,Suspicious,実際馬鹿馬鹿しいし、こんな話をすぐ受け入れて信じるほど私も馬鹿じゃないし…,Left,,
75,Riska,Surprised,,Right,,
75,Player,Conversation,「深層心理に入り込むって、そんなことどうやってできんの？」,Left,,
76,Riska,Normal,,Right,,
76,Player,Suspicious,気になっちゃった_,Left,,
77,Riska,Normal,,Right,,
77,Player,Suspicious,乗ったわけじゃない、話だけでも聞いておこうと思っただけで…,Left,,
78,Player,Normal,,Left,,
78,Riska,Surprised,「簡単さ、僕とYUMEMIちゃんが力を合わせて深層心理に入り込む魔法を発動させればいいんだ！」,Right,,
79,Player,Normal,,Left,,
79,Riska,Normal,「その名も,Right,,
80,Player,Normal,,Left,,
80,Riska,Surprised,【マイン・ド・ダイブ】！,Right,,
81,Player,Normal,,Left,,
81,Riska,Normal,思考のマインドと地雷のマインを掛けたいいネーミングだねぇ♪我ながらあっぱれ！座布団をあげたくなっちゃうね！」,Right,,
82,Riska,Normal,,Right,,
82,Player,Suspicious,勝手に盛り上がるぬいぐるみ,Left,,
83,Riska,Normal,,Right,,
83,Player,Suspicious,完全にペースを飲まれて口を挟む暇も余裕もなかった,Left,,
84,Player,Normal,,Left,,
84,Riska,Normal,「【マイン・ド・ダイブ】とはズバリ！,Right,,
85,Player,Normal,,Left,,
85,Riska,Surprised,莫大な精神エネルギーと記憶の共鳴によって引き起こされる心理遊泳現象！,Right,,
86,Player,Normal,,Left,,
86,Riska,Normal,人の脳内に潜入して記憶や感情を読み解いたり、はたまた内に秘めたヤミを晴らしてナヤミを解決したり,Right,,
87,Player,Normal,,Left,,
87,Riska,Surprised,それが唯一出来るのが君なんだ！」,Right,,
88,Riska,Normal,,Right,,
88,Player,Conversation,「ちょっと待って、なんで私だけができるわけ？」,Left,,
89,Riska,Normal,,Right,,
89,Player,Conversation,当然そう思う、何を基準に選ばれたんだろ,Left,,
90,Riska,Normal,,Right,,
90,Player,Suspicious,私にとって取り柄はとりあえず生きていることくらいしかないと思ってたのに…,Left,,
91,Riska,Normal,,Right,,
91,Player,Normal,それとゲームが上手いくらい,Left,,
92,Riska,Normal,,Right,,
92,Riska,Suspicious,ゲーセンで全部の対戦筐体で1位取っちゃうくらい♪,Right,,
93,Riska,Normal,,Right,,
93,Player,Conversation,でもそんなの、マイン・なんちゃらに必要なスキルとも思えないけど…,Left,,
94,Riska,Normal,,Right,,
94,Riska,Normal,「さっきも言ったけど、,Right,,
95,Player,Normal,,Left,,
95,Riska,Normal,【マイン・ド・ダイブ】にまず必要なのは「莫大な精神エネルギー」、例えばメンヘラや地雷系といった人間はその点優れている、正の感情であろうが負の感情であろうがマイン・ド・ダイブに足るエネルギーを生み出すことは出来るけど、マイナスは特に生産効率がいい,Right,,
96,Player,Normal,,Left,,
96,Riska,Surprised,爆発的な感情の沸騰はマイナスの方が起こりやすいという仕組みだね,Right,,
97,Riska,Normal,,Right,,
97,Riska,Normal,それも日常的に生み出せるとなるとマインドダイブが安定して、深層心理内での行動の自由度が上がる,Right,,
98,Player,Normal,,Left,,
98,Player,Surprised,つまり、この役割は地雷系とかメンヘラな人が最適ってわけさ,Left,,
99,Riska,Normal,,Right,,
99,Player,Conversation,ちょ、ちょっと待って？私、ファッションだけでそこまでメンヘラでも地雷でもないけど,Left,,
100,Player,Conversation,,Left,,
100,Riska,Surprised,ははっ、いやぁそれがね,Right,,
101,Player,Conversation,,Left,,
101,Riska,Normal,じつはさっき言った通り、マイン・ド・ダイブはメンヘラであればあるほど、地雷系であればあるほどいいんだけど、それは性格に限った話ではないんだ,Right,,
102,Player,Normal,,Left,,
102,Riska,Normal,つまり、見た目が地雷ならそれは地雷、見た目がメンヘラならメンヘラ,Right,,
103,Player,Normal,,Left,,
103,Riska,Normal,制限が緩くなったと言うか、見境なくなったと言うか…,Right,,
104,Player,Normal,,Left,,
104,Riska,Surprised,とにかく！君ならマイン・ド・ダイブを使えるということさ！,Right,,
105,Riska,Normal,,Right,,
105,Player,Suspicious,…本当？嘘くさい…,Left,,
106,Riska,Normal,,Right,,
106,Player,Suspicious,なんか私にするためにそう理由付けしてるような_,Left,,
107,Player,Suspicious,,Left,,
107,Riska,Surprised,そ、そう！合理的な説明以上に、君には素質がある！言葉で表せないほどに、君のうちに秘めたポテンシャルは素晴らしいってなもんさ！,Right,,
108,Player,Suspicious,,Left,,
108,Riska,Surprised,「そんでもって、才能のある君がマイン・ド・ダイブで人々の深層心理に入り込み、内に潜む闇をぶっ飛ばす！そんでその人はオナヤミ解決！,Right,,
109,Player,Suspicious,,Left,,
109,Riska,Surprised,ヤミもナヤミも晴れてよかったねぇ〜！,Right,,
110,Player,Normal,,Left,,
110,Riska,Normal,っと、,Right,,
111,Player,Normal,,Left,,
111,Riska,Surprised,ーつまり…君と僕の目的は“救う”ことだ！自分だろうが誰だろうがね、救えるもんは全部救う,Right,,
112,Player,Normal,,Left,,
112,Riska,Surprised,邪悪な敵は見つけ次第ぶっ飛ばす！,Right,,
113,Player,Normal,,Left,,
113,Riska,Normal,う〜ん！最高にクールだね！アメコミヒーローって感じ！」,Right,,
114,Riska,Normal,,Right,,
114,Player,Conversation,「それあんたがやればいいじゃん」,Left,,
115,Player,Conversation,,Left,,
115,Riska,Normal,「またまた無理を言うなぁ,Right,,
116,Player,Normal,,Left,,
116,Riska,Surprised,このミッションは僕じゃできないんだよ、僕と君じゃなきゃ、君にしか救えないんだ。ま、それは後々わかるさ、今言うことでもないね」,Right,,
117,Riska,Normal,,Right,,
117,Player,Suspicious,……含みのある言い方だなぁ,Left,,
118,Player,Suspicious,,Left,,
118,Riska,Normal,「そしてもう一つ重要なのが、君の着けてるそのチョーカー、それは深層心理の扉を開けるための鍵になるんだ,Right,,
119,Riska,Normal,,Right,,
119,Player,Conversation,…これ？,Left,,
120,Player,Conversation,,Left,,
120,Riska,Surprised,「そうそれ！それがないと始まらないと言っても過言ではない！」,Right,,
121,Riska,Normal,,Right,,
121,Player,Suspicious,「なんで？普通に売ってるものだけど、なんで私のだけそうなるわけ？」,Left,,
122,Player,Normal,,Left,,
122,Riska,Surprised,「記憶の共鳴さ」,Right,,
123,Player,Normal,,Left,,
123,Riska,Normal,「僕にはここでクレーンゲームの中に入れられてから3年近く取られずにここに残っていた“ながぁ〜い記憶”がある、YUMEMIちゃんの地雷デビューで一番最初に買ったものはそのチョーカー、君の中で人生を動かすきっかけとなった大事な思い出さ,Right,,
124,Player,Normal,,Left,,
124,Riska,Surprised,お互いの重要な記憶を共鳴させることで深層心理の扉を開けることができるってことだね！」,Right,,
125,Riska,Normal,,Right,,
125,Player,Suspicious,「そんな理屈でいいの？なんか強引だなぁ。見ず知らずの他人同士の記憶を共鳴なんて,Left,,
126,Riska,Normal,,Right,,
126,Player,Conversation,それに、ここの常連だけどこんなぬいぐるみをみたのは今日が初めて,Left,,
127,Player,Normal,,Left,,
127,Riska,Suspicious,明らかな嘘か、何かしらの力…うーん、考えづらいなぁ,Right,,
128,Player,Normal,,Left,,
128,Riska,Surprised,まあそんな事は今考えたって答えは出ないさ！重要なことじゃないし！またその時になれば考えればいいさ！,Right,,
129,Riska,Normal,,Right,,
129,Player,Suspicious,ん〜、引っかかる…,Left,,
130,Riska,Normal,,Right,,
130,Player,Suspicious,こんな嘘だらけの口実で私をよくわからない人助けに誘おうなんて、変でしかない,Left,,
131,Riska,Normal,,Right,,
131,Player,Conversation,そういう新手の詐欺？,Left,,
132,Riska,Normal,,Right,,
132,Player,Suspicious,ドッキリ？この状況を誰かがモニタリングしてる？,Left,,
133,Player,Normal,,Left,,
133,Riska,Surprised,あー！そうそうそうそう！それでチョーカーなんだけど_！,Right,,
134,Riska,Surprised,,Right,,
134,Player,Normal,（無理やり遮られた、こっちのペースは無視…),Left,,
135,Player,Normal,,Left,,
135,Riska,Surprised,君のそのチョーカーは深層心理内で武器としていい感じに役立ちそうなんだ」,Right,,
136,Riska,Normal,,Right,,
136,Player,Conversation,「チョーカーが武器？」,Left,,
137,Player,Conversation,,Left,,
137,Riska,Normal,「深層心理はいわゆる空想の世界、ある程度の不思議体験や特殊能力なら扱えちゃうってことだね,Right,,
138,Riska,Normal,,Right,,
138,Riska,Surprised,その点、チョーカーは何かと万能に使えそうという僕の算段だ,Right,,
139,Player,Normal,,Left,,
139,Riska,Normal,落ちそうな時にチョーカーを伸ばして崖に捕まったりとか、敵をそのチョーカーで束縛したりとか移動手段にだって使える,Right,,
140,Player,Normal,,Left,,
140,Riska,Surprised,持ってるものは何だって最大限活かしてこそだよ！文明はそうやって進化してきたんだから！」,Right,,
141,Riska,Surprised,,Right,,
141,Player,Suspicious,またスケールのでかい話になってきた…,Left,,
142,Player,Suspicious,,Left,,
142,Riska,Surprised,「とまあ説明はこんな感じにして、大体はフィーリングでなんとかするものさ！ほら早速救いに行こうじゃないか！」,Right,,
143,Riska,Normal,,Right,,
143,Player,Conversation,「ちょちょちょ！まだ何も決まってないって！てか今から！？」,Left,,
144,Riska,Conversation,,Right,,
144,Player,Suspicious,（……………）,Left,,
145,Riska,Normal,,Right,,
145,Player,Suspicious,勢いで街中来たけど…,Left,,
146,Player,Normal,,Left,,
146,Riska,Surprised,「どうだい？いかにもヤミ〜な人はいたかい？」,Right,,
147,Riska,Surprised,,Right,,
147,Player,Suspicious,「そんなんわかるわけないでしょ…」,Left,,
148,Player,Normal,,Left,,
148,Riska,Surprised,「ほら、あの人なんてどう？」,Right,,
149,Riska,Surprised,,Right,,
149,Player,Suspicious,「どう？って…,Left,,
150,Owner,Normal,,Right,,
150,Player,Conversation,いかにもな好青年って感じ、爽やかそうな見た目で、別にヤミなんて…,Left,,
151,Owner,Normal,,Right,,
151,Player,Suspicious,というかパット見の目視でわかるわけ_」,Left,,
152,Owner,Normal,,Right,,
152,Player,Conversation,「…………………………？」,Left,,
153,Riska,Normal,,Right,,
153,Player,Suspicious,紫？紺色？………の煙？,Left,,
154,Riska,Normal,,Right,,
154,Player,Suspicious,「なんか、モヤモヤしてる…？」,Left,,
155,Player,Suspicious,,Left,,
155,Riska,Surprised,「おお！それはまさしくヤミオーラ！」,Right,,
156,Player,Suspicious,,Left,,
156,Riska,Surprised,「現代社会の有象無象に揉まれて鬱屈に鬱屈を重ねたヤミエネルギーが今まさに爆発寸前！」,Right,,
157,Riska,Surprised,,Right,,
157,Player,Suspicious,「こいつ…わかってて言ったでしょ…」,Left,,
158,Riska,Surprised,,Right,,
158,Player,Suspicious,このぬいぐるみが喋ってからというもの、ついに人智を超えたヘンテコオーラまで見えるようになっちゃった。いよいよマイン・ド・ダイブとかいうヘンテコマジックが現実味を帯びてきちゃったなぁ…,Left,,
159,Player,Normal,,Left,,
159,Riska,Surprised,「とにかく、そ〜んな闇はいち早く晴らしてしまおう！ほら！あれっ！あれっ！」,Right,,
160,Riska,Normal,,Right,,
160,Player,Conversation,「あれ？」,Left,,
161,Player,Conversation,,Left,,
161,Riska,Surprised,「マイン・ド・ダイブだよ！マイン・ド・ダイブ！」,Right,,
162,Player,Normal,,Left,,
162,Riska,Surprised,「あの人に向かってそのチョーカーを突き出して「マイン・ド・ダ〜イブ！」って！」,Right,,
163,Riska,Normal,,Right,,
163,Player,Suspicious,「んな恥ずかしいことできるか！」,Left,,
164,Player,Normal,,Left,,
164,Riska,Surprised,「人を救うなら恥の1つや2つ、プライドの1つや2つ捨てて当然だよ！リスク無しで救おう救われようなんて都合のいい話なんてないのはその年ならもうよ〜く理解しているでしょ？」,Right,,
165,Riska,Normal,,Right,,
165,Player,Suspicious,「ぐっ！こいつ…かわいい見た目しておきながらすごい刺してくる！」,Left,,
166,Player,Normal,,Left,,
166,Riska,Surprised,「そんなんだからいつまで経っても君は地雷系女子なんだよ。「あ〜私はどうせ〜」とか、「なんてだめな人間〜」とか、他人の気にしないとこで1人で自己嫌悪になって、自己否定するくせに変にプライド捨てきれなくて自分より下の人間見て安心してー」,Right,,
167,Riska,Normal,,Right,,
167,Player,Suspicious,「そんなん地雷系じゃなくても当てはまるわ！というか私はファッション地雷なの！」,Left,,
168,Player,Normal,,Left,,
168,Riska,Surprised,「ほら！ムキになってないで！まずは近くに行かないと！」,Right,,
169,Riska,Normal,,Right,,
169,Player,Suspicious,「ぐっ…こういうのはもっと公園のベンチとかで話をしながらお互い分かりあった上で_」,Left,,
170,Player,Normal,,Left,,
170,Riska,Normal,「その過程をすっ飛ばして即席オナヤミ解決できるのがマイン・ド・ダイブじゃないか！君の力はそこらのインチキカウンセラーとは全く違うんだ！」,Right,,
171,Player,Normal,,Left,,
171,Riska,Surprised,「それともあれかい？」,Right,,
172,Player,Normal,,Left,,
172,Riska,Surprised,「話し合いでその人の悩みが晴れたらマイン・ド・ダイブする必要がないんじゃないかって？あのね、そんなんで晴れるほど人のナヤミは単純じゃないんだよ、,Right,,
173,Player,Normal,,Left,,
173,Riska,Surprised,君が「辛いわ〜もういや〜」とか「泣きたいわ〜もうだめ〜」とか言ってる間に君のヤミはイヤホンみたいに複雑に絡まって、自分だけじゃ解決できなくなって、でも頼る人がいなくてそんな自分をちょっと強く見せようとしてまた失敗してまた1人で落ち込んで…」,Right,,
174,Riska,Normal,,Right,,
174,Player,Suspicious,「だー！もう！わかったから！」,Left,,
175,Riska,Normal,,Right,,
175,Player,Suspicious,これ以上この問答を続けたらこっちが病む！てかもう病んでる！,Left,,
176,Player,Normal,,Left,,
176,Riska,Surprised,「わかったならレッツゴーだ！,Right,,
177,Player,Normal,,Left,,
177,Riska,Surprised,ヒゲのおじさんみたいな勢いでステージに突っ込むんだ！」,Right,,
178,Riska,Normal,,Right,,
178,Player,Suspicious,「くっ…！本当にやるの…？これ…」,Left,,
179,Riska,Normal,,Right,,
179,Player,Conversation,てかヒゲのおっさんって何？,Left,,
180,Riska,Normal,,Right,,
180,Player,Suspicious,いやいや、それより！やらなきゃいけないの…！？,Left,,
181,Riska,Normal,,Right,,
181,Player,Suspicious,私やんなくてもいいんじゃない…？,Left,,
182,Riska,Normal,,Right,,
182,Player,Suspicious,他にも私みたいなやついるって、きっと…！,Left,,
183,Riska,Normal,,Right,,
183,Player,Smiling,あともう少し経ったら…きっと来るよ…他のやつが助けに！,Left,,
184,Riska,Normal,,Right,,
184,Player,Smiling,……………………………,Left,,
185,Riska,Normal,,Right,,
185,Player,Suspicious,あーくそ！もう駄目だ！神様が私にやれって言ってる！絶対そうだ！神様にいじめられてる！,Left,,
186,Riska,Normal,,Right,,
186,Player,Suspicious,あーくそ…あーくそ！あーもう！あー！あー！あー！やるよ！もう！,Left,,
187,Riska,Normal,,Right,,
187,Player,Suspicious,やるぞ…やるぞ…ほら…あと10秒…！10秒経ったら！,Left,,
188,Riska,Normal,,Right,,
188,Player,Suspicious,いや、長い！それだと気が変わっちゃう！,Left,,
189,Riska,Normal,,Right,,
189,Player,Suspicious,5秒！5秒だ5秒!あと5秒でいく！,Left,,
190,Riska,Normal,,Right,,
190,Player,Suspicious,5…………………………4…………………………3…………………………2……………………,Left,,
191,Riska,Surprised,,Right,,
191,Player,Suspicious,覚悟は決まってない、でもこの一瞬だけ決めればいい…！,Left,,
192,Riska,Normal,,Right,,
192,Player,Suspicious,「あ、あの…」,Left,,
193,Player,Normal,,Left,,
193,Owner,Normal,「ん？なんだい？」,Right,,
194,Owner,Normal,,Right,,
194,Player,Suspicious,………………………………………………………1！,Left,,
195,Owner,Normal,,Right,,
195,Player,Smiling,「マ、マイン・ド・ダ～～～～～～～～イブ！」,Left,,
